update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix
98,25088,0.0014741220511496067,837.8778877258301,0.20504938904196024,0.0087890625,30.150000529289244,0.0,0.0,5.071428571428571,3.6341463414634148,30.150000529289244,,,,,,,cpu,ppo_lstm_seed77
99,25344,-0.0037375204265117645,629.0409183502197,0.2653001453727484,0.0048828125,29.09500041484833,0.0,0.0,5.133333333333334,3.6923076923076925,29.09500041484833,,,,,,,cpu,ppo_lstm_seed77
100,25600,0.00017741508781909943,490.05385971069336,0.24105138052254915,0.0,28.29500049114227,0.0,0.0,5.172413793103448,3.575,28.29500049114227,,,,,,,cpu,ppo_lstm_seed77
101,25856,0.0015194290317595005,458.7162609100342,0.29015911277383566,0.025390625,25.450000357627868,0.0,0.0,5.185185185185185,3.85,25.450000357627868,,,,,,,cpu,ppo_lstm_seed77
102,26112,0.0008585723116993904,844.8942050933838,0.4388961736112833,0.044921875,23.890000405311586,0.0,0.0,5.074074074074074,3.8947368421052633,23.890000405311586,,,,,,,cpu,ppo_lstm_seed77
103,26368,-0.0025856588035821915,550.9837951660156,0.4065242987126112,0.0087890625,21.045000233650207,0.0,0.0,5.166666666666667,4.0,21.045000233650207,,,,,,,cpu,ppo_lstm_seed77
104,26624,0.005874234950169921,250.56347179412842,0.36223982833325863,0.0498046875,21.785000352859498,0.0,0.0,5.136363636363637,3.7777777777777777,21.785000352859498,,,,,,,cpu,ppo_lstm_seed77
105,26880,0.00511705968528986,487.37928342819214,0.28720949962735176,0.017578125,22.435000510215758,0.0,0.0,4.944444444444445,3.72,22.435000510215758,,,,,,,cpu,ppo_lstm_seed77
106,27136,0.0014033010229468346,1999.5620040893555,0.4269353188574314,0.0400390625,20.300000553131103,0.0,0.07142857142857142,5.15,3.5576923076923075,16.72857198170253,,,,,,,cpu,ppo_lstm_seed77
107,27392,0.0003814827650785446,1035.781379699707,0.3745108265429735,0.0068359375,22.085000472068785,0.0,0.0625,4.96,3.558139534883721,18.960000472068785,,,,,,,cpu,ppo_lstm_seed77
108,27648,2.887379378080368e-05,649.3700847625732,0.38210351951420307,0.009765625,21.90500051498413,0.0,0.05128205128205128,4.739130434782608,3.0789473684210527,19.34089795088157,,,,,,,cpu,ppo_lstm_seed77
109,27904,0.0013019321486353874,789.8134822845459,0.35954389348626137,0.0224609375,22.050000505447386,0.0,0.05405405405405406,4.7407407407407405,3.388888888888889,19.347297802744684,,,,,,,cpu,ppo_lstm_seed77
110,28160,-0.003018561750650406,1428.8702182769775,0.40570027381181717,0.0068359375,19.770000681877136,0.0,0.07894736842105263,4.678571428571429,3.0,15.822632260824504,,,,,,,cpu,ppo_lstm_seed77
111,28416,0.0002095550298690796,1982.4754486083984,0.3801413420587778,0.0302734375,17.25000062942505,0.0,0.07692307692307693,4.769230769230769,3.085714285714286,13.403846783271202,,,,,,,cpu,ppo_lstm_seed77
112,28672,-0.0003182636573910713,1070.6938762664795,0.33910295367240906,0.009765625,19.405000944137573,0.0,0.125,4.730769230769231,2.880952380952381,13.155000944137573,,,,,,,cpu,ppo_lstm_seed77
113,28928,0.0014390461146831512,480.5601463317871,0.31206213496625423,0.005859375,20.0500009059906,0.0,0.14285714285714285,4.785714285714286,3.3181818181818183,12.907143763133458,,,,,,,cpu,ppo_lstm_seed77
114,29184,0.0011144038289785385,1042.9838314056396,0.39315816573798656,0.021484375,15.570000712871552,0.0,0.12121212121212122,4.88,3.5952380952380953,9.509394652265492,,,,,,,cpu,ppo_lstm_seed77
115,29440,0.0025926772505044937,568.8154239654541,0.312328914180398,0.0146484375,20.400000722408294,0.0,0.10714285714285714,4.84,3.595744680851064,15.042857865265436,,,,,,,cpu,ppo_lstm_seed77
116,29696,-0.0009453603997826576,242.24566745758057,0.32808149605989456,0.0029296875,22.40000068426132,0.0,0.07142857142857142,4.958333333333333,3.8125,18.828572112832752,,,,,,,cpu,ppo_lstm_seed77
